relative_path,major,path_category,category,factory,kind,action,file_size,modified_at,reason,absolute_path
灯带/跨境产品/伊特/Wellux String Light Product Catlogue 2024.pdf,灯带,跨境产品,灯带,伊特,other,update,9511816,2024-07-10T07:07:23.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/跨境产品/伊特/Wellux String Light Product Catlogue 2024.pdf
灯带/尼奥/Catalogue-2025.pdf,灯带,尼奥,灯带,Catalogue-2025.pdf,catalog,update,4666507,2025-09-18T09:06:15.610Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/尼奥/Catalogue-2025.pdf
灯带/尼奥/Neo-Shine E-catalog 2024.pdf,灯带,尼奥,灯带,Neo-Shine E-catalog 2024.pdf,catalog,update,22617379,2024-10-30T13:05:55.000Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/尼奥/Neo-Shine E-catalog 2024.pdf
灯带/尼奥/Neo-Shine Lighting catalog 2024 尼奥.pdf,灯带,尼奥,灯带,Neo-Shine Lighting catalog 2024 尼奥.pdf,catalog,update,3453527,2024-08-29T07:00:21.000Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/尼奥/Neo-Shine Lighting catalog 2024 尼奥.pdf
灯带/皮线灯 伊特/Guangdong Ruidisong Technology Catalogue 2024.pdf,灯带,皮线灯 伊特,灯带,Guangdong Ruidisong Technology Catalogue 2024.pdf,catalog,update,5079007,2024-11-27T10:13:12.000Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/皮线灯 伊特/Guangdong Ruidisong Technology Catalogue 2024.pdf
灯带/皮线灯 伊特/Wellux String Light Product Catlogue 2024.pdf,灯带,皮线灯 伊特,灯带,Wellux String Light Product Catlogue 2024.pdf,other,update,9511816,2024-07-10T07:07:23.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/皮线灯 伊特/Wellux String Light Product Catlogue 2024.pdf
灯带/双安/提取自Catalog-Anan Lighting-2025.pdf,灯带,双安,灯带,提取自Catalog-Anan Lighting-2025.pdf,catalog,update,1110552,2026-04-08T02:09:14.900Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/双安/提取自Catalog-Anan Lighting-2025.pdf
灯带/双安/Catalog-Anan Lighting-2025.pdf,灯带,双安,灯带,Catalog-Anan Lighting-2025.pdf,catalog,update,17041999,2025-10-31T04:00:26.500Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/双安/Catalog-Anan Lighting-2025.pdf
光源/灯丝灯/宝珑 异形泡/Welfull Wellux Decorative LED Bulbs Catalogues 2023.pdf,光源,灯丝灯,灯丝灯,宝珑 异形泡,catalog,create,1811733,2023-02-10T07:51:52.000Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/宝珑 异形泡/Welfull Wellux Decorative LED Bulbs Catalogues 2023.pdf
光源/灯丝灯/德雷普/灯丝泡图片/110平钻 (5).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,5721061,2019-05-25T02:07:25.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/110平钻 (5).pdf
光源/灯丝灯/德雷普/灯丝泡图片/114尖钻 (3).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,5459450,2019-05-25T02:07:15.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/114尖钻 (3).pdf
光源/灯丝灯/德雷普/灯丝泡图片/125草莓 (3).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,9771032,2019-05-25T02:07:34.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/125草莓 (3).pdf
光源/灯丝灯/德雷普/灯丝泡图片/125苹果 (4).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,3459541,2020-08-03T05:09:36.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/125苹果 (4).pdf
光源/灯丝灯/德雷普/灯丝泡图片/140五角星 (2).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,3443475,2021-06-24T01:00:54.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/140五角星 (2).pdf
光源/灯丝灯/德雷普/灯丝泡图片/165皇冠 (2).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,3036820,2020-08-03T05:09:33.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/165皇冠 (2).pdf
光源/灯丝灯/德雷普/灯丝泡图片/3.5K (4).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,6579635,2021-09-02T04:50:59.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/3.5K (4).pdf
光源/灯丝灯/德雷普/灯丝泡图片/3.5K (5).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,5230449,2021-09-02T04:50:28.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/3.5K (5).pdf
光源/灯丝灯/德雷普/灯丝泡图片/A泡系列/A60 (35).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,292798,2018-01-09T03:23:04.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/A泡系列/A60 (35).pdf
光源/灯丝灯/德雷普/灯丝泡图片/A泡系列/A60 (36).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,2692435,2020-09-28T07:21:40.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/A泡系列/A60 (36).pdf
光源/灯丝灯/德雷普/灯丝泡图片/BT78 (5).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,6280342,2020-08-22T02:43:32.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/BT78 (5).pdf
光源/灯丝灯/德雷普/灯丝泡图片/BT78 (6).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,5966325,2019-05-25T02:07:22.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/BT78 (6).pdf
光源/灯丝灯/德雷普/灯丝泡图片/C35系列/C35 (23).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,8735121,2020-12-14T02:29:55.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/C35系列/C35 (23).pdf
光源/灯丝灯/德雷普/灯丝泡图片/C35系列/C35 (24).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,337926,2018-01-09T03:22:53.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/C35系列/C35 (24).pdf
光源/灯丝灯/德雷普/灯丝泡图片/C35系列/C35 (25).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,9936456,2021-09-02T04:42:17.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/C35系列/C35 (25).pdf
光源/灯丝灯/德雷普/灯丝泡图片/G150 (2).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,7705221,2019-05-25T02:07:30.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/G150 (2).pdf
光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G125 (30).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,465346,2018-01-09T03:22:56.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G125 (30).pdf
光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G125 (32).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,451017,2018-01-09T03:22:59.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G125 (32).pdf
光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G45 (18).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,12618128,2020-12-14T07:14:20.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G45 (18).pdf
光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G45 (19).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,15075242,2020-12-14T02:28:35.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G45 (19).pdf
光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G80 (7).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,5314546,2021-09-02T04:28:34.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G80 (7).pdf
光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G80 (8).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,2973487,2021-09-02T04:29:31.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/G泡系列/G80 (8).pdf
光源/灯丝灯/德雷普/灯丝泡图片/MS200 (2).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,6969133,2019-05-25T02:07:20.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/MS200 (2).pdf
光源/灯丝灯/德雷普/灯丝泡图片/PS160 (6).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,8927380,2019-05-25T02:07:20.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/PS160 (6).pdf
光源/灯丝灯/德雷普/灯丝泡图片/ST系列/ST64 (20).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,391167,2018-01-09T03:24:18.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/ST系列/ST64 (20).pdf
光源/灯丝灯/德雷普/灯丝泡图片/ST系列/ST64 (21).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,1532206,2021-09-02T04:34:49.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/ST系列/ST64 (21).pdf
光源/灯丝灯/德雷普/灯丝泡图片/ST系列/ST64 (22).pdf,光源,灯丝灯,灯丝灯,德雷普,packaging-image,create,473797,2018-01-09T03:23:14.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯丝灯/德雷普/灯丝泡图片/ST系列/ST64 (22).pdf
光源/灯头灯座/中山振驰2023 Easycolour lampholder catalogue 2021  5M.pdf,光源,灯头灯座,灯头灯座,中山振驰2023 Easycolour lampholder catalogue 2021  5M.pdf,catalog,create,7495602,2024-09-27T09:57:06.000Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/灯头灯座/中山振驰2023 Easycolour lampholder catalogue 2021  5M.pdf
光源/球泡灯管/合力/画册/（已压缩）合力产品册电子版202406版.pdf,光源,球泡灯管,灯管,合力,catalog,create,3617198,2026-01-21T07:57:26.260Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/球泡灯管/合力/画册/（已压缩）合力产品册电子版202406版.pdf
光源/球泡灯管/合力/画册/2025.10广交会画册-转曲.pdf,光源,球泡灯管,灯管,合力,catalog,create,11219412,2026-01-21T07:54:46.210Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/球泡灯管/合力/画册/2025.10广交会画册-转曲.pdf
光源/球泡灯管/合力/画册/Plastic Products Catalog.pdf,光源,球泡灯管,灯管,合力,catalog,create,3791183,2026-01-21T07:54:32.490Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/球泡灯管/合力/画册/Plastic Products Catalog.pdf
光源/球泡灯管/江西奥普/江西奥普照明.pdf,光源,球泡灯管,灯管,江西奥普,other,create,13023833,2024-06-13T02:40:02.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/球泡灯管/江西奥普/江西奥普照明.pdf
光源/球泡灯管/上格/上格 灯座/2018-折页-灯头.pdf,光源,球泡灯管,灯管,上格,other,create,24513714,2023-05-11T09:57:32.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/球泡灯管/上格/上格 灯座/2018-折页-灯头.pdf
光源/球泡灯管/上格/上格 灯座/上格转换灯座样册.pdf,光源,球泡灯管,灯管,上格,other,create,21137381,2023-05-11T09:58:40.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/球泡灯管/上格/上格 灯座/上格转换灯座样册.pdf
光源/球泡灯管/上格/上格样册2022.pdf,光源,球泡灯管,灯管,上格,other,create,34259772,2026-05-22T07:40:08.620Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/球泡灯管/上格/上格样册2022.pdf
光源/G4G9/G4 G9源头工厂 普雅产品价目表220318杭州汇浮.pdf,光源,G4G9,G4G9,G4 G9源头工厂 普雅产品价目表220318杭州汇浮.pdf,quotation,create,120050,2022-03-18T02:29:17.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/G4G9/G4 G9源头工厂 普雅产品价目表220318杭州汇浮.pdf
光源/LED模组/优麦德 /优麦德画册.pdf,光源,LED模组,LED模组,优麦德,catalog,create,4325895,2025-04-14T02:57:33.100Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/LED模组/优麦德 /优麦德画册.pdf
光源/LED模组/优麦德 /优麦德模组目录.pdf,光源,LED模组,LED模组,优麦德,catalog,create,86209,2025-05-06T02:47:16.200Z,文件名/路径含目录或画册关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/光源/LED模组/优麦德 /优麦德模组目录.pdf
户外照明 工业照明/防潮灯/弘跃/弘跃 防潮灯 规格书.pdf,户外照明 工业照明,防潮灯,防潮灯,弘跃,spec,create,1035049,2023-11-23T05:37:27.000Z,文件名/路径含规格或参数关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/防潮灯/弘跃/弘跃 防潮灯 规格书.pdf
户外照明 工业照明/防潮灯/普照/CL04防潮灯报价表2024年4月25 普照.pdf,户外照明 工业照明,防潮灯,防潮灯,普照,quotation,create,214443,2024-04-25T07:56:55.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/防潮灯/普照/CL04防潮灯报价表2024年4月25 普照.pdf
户外照明 工业照明/防潮灯/普照/MAL_Ipsum_016 420x297(1).pdf,户外照明 工业照明,防潮灯,防潮灯,普照,other,create,7569271,2021-07-27T10:02:42.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/防潮灯/普照/MAL_Ipsum_016 420x297(1).pdf
户外照明 工业照明/防潮灯/普照/MAL_Pictor_014 420x297(1).pdf,户外照明 工业照明,防潮灯,防潮灯,普照,other,create,7649365,2021-07-27T10:02:50.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/防潮灯/普照/MAL_Pictor_014 420x297(1).pdf
户外照明 工业照明/防潮灯/中山湘特/湘腾.pdf,户外照明 工业照明,防潮灯,防潮灯,中山湘特,other,create,18305672,2024-04-25T08:51:03.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/防潮灯/中山湘特/湘腾.pdf
户外照明 工业照明/工作灯/绿晟luxson/绿晟工作灯报价2026-1-13/LED WORKLGHT2025.pdf,户外照明 工业照明,工作灯,工作灯,绿晟luxson,quotation,create,12466563,2026-01-13T07:18:38.000Z,文件名/路径含报价或价格关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/工作灯/绿晟luxson/绿晟工作灯报价2026-1-13/LED WORKLGHT2025.pdf
