path,category,factory,classification,reason,estimated_products
光源/球泡灯管/合力/202604/ERP T8 TUBE-2025.10.13.xlsx,灯管,合力,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,39
光源/球泡灯管/合力/202604/T5一体化支架价格(1).xlsx,灯管,合力,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,18
光源/球泡灯管/嘉家旺/嘉家旺  202404.xlsx,灯管,嘉家旺,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,117
光源/球泡灯管/嘉家旺/嘉家旺整体报价(1) 12月.xlsx,灯管,嘉家旺,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,117
光源/球泡灯管/嘉家旺/嘉家旺整体报价23.04.18(1).xlsx,灯管,嘉家旺,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,115
光源/球泡灯管/上格/上格照明报价单2023.03.02(2).xlsx,灯管,上格,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,97
光源/球泡灯管/上格/上格ED玉兰花灯报价单1114 - 20230107 更新报价.xlsx,灯管,上格,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,6
光源/球泡灯管/上格/上格ED玉兰花灯报价单出南美(1)202605.xlsx,灯管,上格,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,4
光源/球泡灯管/世林/汇孚集团有限公司-T8灯管 Shilin 20230926.xlsx,灯管,世林,enrichment-only,发现 USD/FOB 客户价，不作为工厂采购价导入，可用于补规格/图片,7
光源/球泡灯管/鑫盟泰/2026.04T8玻璃灯管系列价格表-含税(1).xlsx,灯管,鑫盟泰,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,28
光源/球泡灯管/鑫盟泰/T8玻璃灯管系列价格表-含税 20230301 一群狼.xlsx,灯管,鑫盟泰,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,22
光源/球泡灯管/宇中/woojong 宇中高虹产品清单-汇总-(20210225).xlsx,灯管,宇中,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,118
光源/灯丝灯/宝珑 异形泡/嘉兴宝珑异形泡报价单0922.xlsx,灯丝灯,宝珑 异形泡,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,60
光源/灯丝灯/宝珑 异形泡/Welfull Wellux Decorative LED Bulbs Catalogues 2023.xlsx,灯丝灯,宝珑 异形泡,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,58
光源/灯丝灯/德雷普/核价LED Filament Bulb Quotation-Wellux-2021-12-17.xlsx,灯丝灯,德雷普,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,116
光源/球泡灯管/名威 应急灯管/核价Emergency Charging Tube - Wellux - 20220706.xlsx,应急灯,名威 应急灯管,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,15
光源/球泡灯管/名威 应急灯管/应急灯管报价emergency charging tube-2022.03.11(1).xlsx,应急灯,名威 应急灯管,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,11
光源/球泡灯管/名威 应急灯管/应急灯管价格 名威 2023.3.3.xlsx,应急灯,名威 应急灯管,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,5
光源/G4G9/暖光照明2023年报价G4 G9 R7S 230906.xlsx,G4G9,暖光照明2023年报价G4 G9 R7S 230906.xlsx,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,117
光源/G4G9/品亮G4G9过ERP产品 - 汇孚 9.7.xlsx,G4G9,品亮G4G9过ERP产品 - 汇孚 9.7.xlsx,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号；全新品类,22
光源/G4G9/旭航/新ERP G9 G4报价单 2023年 旭航_冲突文件_lenovo_20240827095913.xls,G4G9,旭航,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,19
光源/G4G9/旭航/新ERP G9 G4报价单 2023年 旭航.xls,G4G9,旭航,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,19
光源/G4G9/旭航/G4G9旭航报价-NEW Erp LED G9 2022.10 CNY.xls,G4G9,旭航,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,12
光源/G4G9/LED G9&R7S    核价2021.7.19.xlsx,G4G9,LED G9&R7S 核价2021.7.19.xlsx,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,27
光源/G4G9/WELLUX LED G9&R7S Quotation 2021.7.19.xlsx,G4G9,WELLUX LED G9&R7S Quotation 2021.7.19.xlsx,enrichment-only,发现 USD/FOB 客户价，不作为工厂采购价导入，可用于补规格/图片；全新品类,22
光源/LED模组/瑞盛达/欧标拨码吸顶灯报价单4月 瑞盛达 202504.xlsx,LED模组,瑞盛达,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,4
光源/LED模组/稣赐/保加利亚模组报价单2025-4(1) 稣赐.xls,LED模组,稣赐,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,4
户外照明 工业照明/LED 地埋灯地插灯/古镇巨登/2021-9小扣灯报价表 巨登 照明.xlsx,地埋灯/地插灯,古镇巨登,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,8
户外照明 工业照明/LED 地埋灯地插灯/古镇巨登/Judeng Hotselling Products RMB  热销款含税价格汇总 20221028.xlsx,地埋灯/地插灯,古镇巨登,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,42
户外照明 工业照明/LED 地埋灯地插灯/核价 发客户/2022-10 巨登-地埋灯报价表.xlsx,地埋灯/地插灯,核价 发客户,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,17
户外照明 工业照明/LED 地埋灯地插灯/核价 发客户/汉君报价20221021.xls,地埋灯/地插灯,核价 发客户,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,1
户外照明 工业照明/LED 地埋灯地插灯/核价 发客户/核价 LED Underground Light - Wellux - 20221021.xlsx,地埋灯/地插灯,核价 发客户,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,21
户外照明 工业照明/LED 地埋灯地插灯/核价 发客户/新概念20221021 汇孚询价.xls,地埋灯/地插灯,核价 发客户,enrichment-only,发现 USD/FOB 客户价，不作为工厂采购价导入，可用于补规格/图片,13
户外照明 工业照明/LED 地埋灯地插灯/核价 发客户/LED Underground Light - Wellux（Welfull Group) - 20221021.xlsx,地埋灯/地插灯,核价 发客户,enrichment-only,发现 USD/FOB 客户价，不作为工厂采购价导入，可用于补规格/图片,21
户外照明 工业照明/LED 地埋灯地插灯/欧诺/欧诺塑料地插灯报价单11月份.xlsx,地埋灯/地插灯,欧诺,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,4
户外照明 工业照明/防潮灯/恒百利/核价 恒百利30cm防潮吸顶灯/-利润核算 LED Bulkhead (LB - E) Quotation-Welfull-2022-3-18_冲突文件_lenovo_20231016224517.xlsx,防潮灯,恒百利,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,7
户外照明 工业照明/防潮灯/恒百利/核价 恒百利30cm防潮吸顶灯/-利润核算 LED Bulkhead (LB - E) Quotation-Welfull-2022-3-18.xlsx,防潮灯,恒百利,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,7
户外照明 工业照明/防潮灯/恒百利/核价 恒百利30cm防潮吸顶灯/恒百利30cm防潮吸顶灯(2)(1).xlsx,防潮灯,恒百利,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,22
户外照明 工业照明/防潮灯/恒百利/核价 恒百利30cm防潮吸顶灯/LED Bulkhead ( LB - E ) Quotation-Welfull-2022-3-25/LED Bulkhead ( LB - E ) Quotation-Welfull-2022-3-25.xlsx,防潮灯,恒百利,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,7
户外照明 工业照明/防潮灯/恒百利/恒百利10月/汇孚小徐整理价格-20230921(1).xlsx,防潮灯,恒百利,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,23
户外照明 工业照明/防潮灯/恒百利/恒百利10月/三束筒灯报价2023.9.20.xlsx,防潮灯,恒百利,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,8
户外照明 工业照明/防潮灯/恒百利/恒百利4月/恒百利-一字灯报价单 20230423.xlsx,防潮灯,恒百利,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,7
户外照明 工业照明/防潮灯/弘跃/防潮灯 2026.xlsx,防潮灯,弘跃,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,14
户外照明 工业照明/防潮灯/弘跃/防潮灯2024RMB(202404.xlsx,防潮灯,弘跃,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,13
户外照明 工业照明/防潮灯/康赛普/To 康赛普-样品单-20230201.xlsx,防潮灯,康赛普,enrichment-only,发现 USD/FOB 客户价，不作为工厂采购价导入，可用于补规格/图片,10
户外照明 工业照明/防潮灯/欧诺/防潮灯-报价单-欧诺 202310.xls,防潮灯,欧诺,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,26
户外照明 工业照明/防潮灯/余姚金麟/副本金麟-防潮灯产品报价单20240830.xlsx,防潮灯,余姚金麟,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,59
户外照明 工业照明/防潮灯/余姚金麟/金麟-宫灯报价单.xls,防潮灯,余姚金麟,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,43
户外照明 工业照明/防潮灯/余姚金麟/余姚金麟-投光灯产品报价单20240824.xlsx,防潮灯,余姚金麟,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,20
户外照明 工业照明/防潮灯/余姚金麟/JINLIN PP Bulkhead lamp.xlsx,防潮灯,余姚金麟,enrichment-only,发现 USD/FOB 客户价，不作为工厂采购价导入，可用于补规格/图片,16
户外照明 工业照明/防潮灯/中山科至/2024防潮灯最新报价202405.xlsx,防潮灯,中山科至,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号,15
户外照明 工业照明/防潮灯/中山科至/2024防潮灯最新报价202411.xlsx,防潮灯,中山科至,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,12
户外照明 工业照明/防潮灯/中山科至/科至壁灯最新报价.xlsx,防潮灯,中山科至,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,40
户外照明 工业照明/防潮灯/中山湘特/2024-11   crystal high edge bulkhead light 新款水晶罩高边防潮灯.xlsx,防潮灯,中山湘特,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确,8
户外照明 工业照明/防潮灯/中山湘特/金属支架防潮灯1年&2年质保.xlsx,防潮灯,中山湘特,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,15
户外照明 工业照明/防潮灯/中山湘特/XMT  Small Bulkhead Price（小型防潮灯  )11-04(1).xlsx,防潮灯,中山湘特,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列,12
户外照明 工业照明/工作灯/奥光/AG-G20W 30W RMB PRICE LIST.xls,工作灯,奥光,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,8
户外照明 工业照明/工作灯/奥光/AG-LP-F 全发光面 RMB 2022.11.7.xls,工作灯,奥光,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,3
户外照明 工业照明/工作灯/核价wellux quotation of led worklight 20230907 (1).xls,工作灯,核价wellux quotation of led worklight 20230907 (1).xls,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,46
户外照明 工业照明/工作灯/凯胜德/报价更新 /核价LED Worklight Quotation - Wellux Lighting 20260121(KCD-TG-E工作灯2601更（26700电池） 新款 ).xlsx,工作灯,凯胜德,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,52
户外照明 工业照明/工作灯/凯胜德/报价更新 /KCD-TG-E工作灯2601更（26700电池）2026.1.21.xlsx,工作灯,凯胜德,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号；全新品类,43
户外照明 工业照明/工作灯/凯胜德/报价更新 /LED Worklight Quotation - Wellux Lighting 20260121.xlsx,工作灯,凯胜德,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号；全新品类,52
户外照明 工业照明/工作灯/凯胜德/报价更新 /TG-01working lamp - KCD 202601更新（18650亿伟）2026.1.21.xlsx,工作灯,凯胜德,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号；全新品类,54
户外照明 工业照明/工作灯/凯胜德/核价wellux quotation of flood light 20220316.xls,工作灯,凯胜德,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,3
户外照明 工业照明/工作灯/凯胜德/LED Work Light Quotation - Wellux Lighting - 2022-3-17.xls,工作灯,凯胜德,enrichment-only,发现 USD/FOB 客户价，不作为工厂采购价导入，可用于补规格/图片；全新品类,9
户外照明 工业照明/工作灯/绿晟luxson/绿晟工作灯报价2026-1-13/产品卖点.xls,工作灯,绿晟luxson,enrichment-only,无可靠 RMB 价，但有型号和规格/参数/图片信号；全新品类,87
户外照明 工业照明/工作灯/绿晟luxson/绿晟工作灯报价2026-1-13/价格对比/绿晟--R03充电灯报价单LS202601.xls,工作灯,绿晟luxson,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确；全新品类,11
户外照明 工业照明/工作灯/绿晟luxson/绿晟工作灯报价2026-1-13/价格对比/绿晟--R05充电灯报价单LS202601.xls,工作灯,绿晟luxson,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确；全新品类,10
户外照明 工业照明/工作灯/绿晟luxson/绿晟工作灯报价2026-1-13/价格对比/绿晟-R01充电灯报价单LS202601.xls,工作灯,绿晟luxson,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确；全新品类,11
户外照明 工业照明/工作灯/绿晟luxson/绿晟工作灯报价2026-1-13/价格对比/绿晟-R02三面折叠款充电灯报价单LS202601 不能推法国.xls,工作灯,绿晟luxson,likely-importable,发现疑似表头、型号列和 RMB/人民币/含税/核价价格列；全新品类,13
户外照明 工业照明/工作灯/绿晟luxson/绿晟工作灯报价2026-1-13/价格对比/绿晟-R06充电灯报价单LS202601.xls,工作灯,绿晟luxson,needs-review,有价格/型号/表头迹象，但 RMB 价格语义或结构不够明确；全新品类,11
